source_row,set_id,conv_id,part_id,record_sha256
26,8-1-1,8,8-1,2a6199a4bcb13ddf568408d468a27c781e8b24c2d5593d1c20dea94b0d5d1e48
27,8-1-2,8,8-1,98a6decf70c4331e848e4f2a1b803aae111d1ab8acebae520994917707c54b50
28,9-0-0,9,9-0,ea4437032e6931fd0bf8c35909dab91155e15b04672fa1ecd94c65b2ade7f42c
29,10-0-0,10,10-0,9f04c081c5f4055683d3c97de88f8a03a085d710baa3c0fed3f72da15e302a85
30,10-0-1,10,10-0,a0e5b7f2d2ea9aa7d912cb4ddf319eade711b60a1771f5cf4d1054c1cde88418
31,10-0-2,10,10-0,6770f20dbc0e07cd1e3040aaa40b7fae2952a1c8bdd9e8a07e7e48fce1e35c07
32,10-1-0,10,10-1,3cf1a2824c5cbcefa6ab943dff0e1b75f862c42d71712ba4f2698f496356d452
33,10-1-1,10,10-1,db4850f5efadf4e18af3e918304e7b68e3d2ee9103da1a818e5421d5530f6c00
34,10-1-2,10,10-1,ec88e07ba859f2e8085d0bf91fa9b6ea8b65cc86cdf8ac03524a49b059eef36b
35,11-0-0,11,11-0,4a387cd321521c2f2459f04fee8504ed0b6b82b668e575cb0dc4b154860d1acb
36,11-0-1,11,11-0,7aeedc6d34138017b17f9c10e1312c0648bda4f7556b89451021b485caf26bdc
37,11-0-2,11,11-0,0e45894b1fe47706a70bc774785478a143c73f76fdcaa33f3091459a3a3ee022
38,11-1-0,11,11-1,4c409a2d42fcb2e26d04189390598a5f88b3b5e0d7c657c17c4674d80a4cc697
39,11-1-1,11,11-1,8dd28c33e15635761ce8b02e8b2981b22ab7e81bb7e0d5bda9f166b2b54021f1
40,11-1-2,11,11-1,5f96a9d523ff0859cb873fb89afb1155cfa41c12abfe02e6c5e716eb4ebd7444
41,12-0-0,12,12-0,2a677569271a8540d63948bb16e5eb07d9b548dc6c02af5674d0ed34eaf7adbe
42,12-0-1,12,12-0,f79c41be11db9303a7fb421b5662a61799f9ea27621d6911f92c5eceec4e6183
43,12-0-2,12,12-0,e4be0f9fa978aa8ebfa216583c71a08ccf88d0b3da66d53d51bed46b3006587d
44,13-0-0,13,13-0,fe7bcd94ffce438f657c5e114b9a7ade7ddbef4954372b6a88d3befa30701298
45,14-0-0,14,14-0,e34d9c37c974451e0af52b42ff6e0ca12c7c4df7ab7d39462b4dedd1ada2f671
46,14-0-1,14,14-0,8c373ec196b6a2930c4eab656c5994ba1c1d406531875934f66ea1c088a224b0
47,14-0-2,14,14-0,74b29249c88b0a30eecdf55bf2884148767795ab7b5bd7bce7384cc027e0e7ab
48,14-0-3,14,14-0,8331115f7cd7a2ef02989242ec1bb56b0e37134bd6d07edbc437454a6148e9f6
49,14-0-4,14,14-0,c29bb9e9c284f42159c8e6227c49081f148e5ae0438c4790ce90c07b1db7c685
50,15-0-0,15,15-0,fdcfb19b2eec725ad6a77a324465397593062469285d871170edb6c104318c13
51,15-0-1,15,15-0,a9cb8558c9507e4a7c22dfc2798b9733da5f6f84869f352be1f529ed3c6a9b98
52,15-1-0,15,15-1,f0e7857f9342babfcfc1ac0339cbbab7b978ddd8d778e13b8534b8286f672be2
53,15-1-1,15,15-1,ca570c2be90bfd8aa74bb3ae2f54b083dbdf925ba20f160f74478a0cf2aad18d
54,15-1-2,15,15-1,30be622d8267731e645aff186989fb919aeed7b05bf4224c3f8611a3a5cd1111
55,16-0-0,16,16-0,4164dc0b0564c9d8151a11aaf62b79f5b181e3d0dc3a3b5c05859dbca6a86408
56,16-0-1,16,16-0,5c7126a2ebb468e4aaaeea0e5491546308f2d5af015fa25237bca299cfc9c7e8
57,16-1-0,16,16-1,b7ab72cc7c621f70ac110b1b6cb598536c8ecee25b79b2ba7b82c7c8ffd16b94
58,16-1-1,16,16-1,2b461f83ade2516d0fd38f75bd0ea8c2859ed313777aa66627e2a3a3e1c6011c
59,16-1-2,16,16-1,89578bdbfcb7303d6a05f9ddf50d30e605a163a869b24e39d39bf993a2107d8d
60,17-0-0,17,17-0,d34d48c0ca401b5890529223310e107b38cd0b907a0103ec1bd9fb2b2b968667
61,17-0-1,17,17-0,c3f04c3b0b7ce6cb558019fa88481ac5f6f1b4b4983bff4eaf846bea6d1a2dda
62,17-1-0,17,17-1,d08b3e8257b8ffaef51292d6e75a7a773a274fefeb46995c7711e203781b7e81
63,17-1-1,17,17-1,f5c8f30bb008e9d44a42f6ede146b8c4bbb89969343cf2f1a1ccd74fc048dd34
