source_row,episode,start_time,end_time,question_type,record_sha256
50,155,27,27,1.1,33862a7d7aec0f9eb43b1065dbae12129127517eb55dbc95909c4f8aa4b2ca4b
51,155,28,31,1.1,2d0244ad3c95cb94396f8ea9ebb4b7fdc649313a3fd672f37c25c8c60b12fc29
52,155,32,38,1.1,22832fdd337ed9100e40287fdab4cafa70c17f1eab702991e6094be49e29b13f
53,155,39,49,1.2,c2304b0b541096d37ec2f4cbf472876b58eeda44308c56df1ecef26e449d3dd6
54,187,0,7,1.3,3be1493ee1949e8df764cfb5f7205e1a3a96f767cc8c6e3d031e9efa4254b3f7
55,187,7,7,1.2,d7018fd81d7229e375ecd4df4aa7ac9556a610fbbcbac4653bfe39cb9fa6198b
56,187,8,23,1.3,bb930757230570b61d98818ed0e43611c884d1ac0257216288f806a20bb1fb9a
57,187,24,25,1.2,6665ad20cfd0aefa24f1ddf75a0493a863373477d15d71a3a17aad3e87b11a8f
58,187,26,27,1.3,130b9c6492773a670283a31072c0c7993bd7e4a7f14a204c53c58b849e640815
59,187,28,38,1.1,e898d2e10478c44d9087d4a6ab578a55d0cf4d60991930ec74f5b87152cd8e9c
60,187,39,42,1.2,90c11889a1a977faaed560a178a4bdddda33c3bae1741a6a73189a4cd8290179
61,187,43,48,1.1,a065acfb12fa539d446d963f31a62a0a361c30f342409d126047961af527ba75
62,187,49,55,1.1,fc75e278eb25acc2c572258a41bde226f7838f2dcda5afddd0c971c3248105f8
63,190,0,7,1.1,0956be38a59e517d4f61d3eb2150db24ccb3dad0994d7db27399e015701d44a9
64,190,8,9,1.1,8e05345da38f9115e325d2293284dabe2fd011ed8fd93d102b05a187e1aab550
65,201,0,4,1.2,cb67402466685bd665443b7adc22f6ebd89d0ac7d1e77ccdfb32b0cc9d58cc1b
66,201,5,6,1.3,1b9d0d04baeb78f46ae03e42a6c5b6c9fc06e32102757c86d9b08a1d831b9c0b
67,201,7,7,1.3,c8004f04ac9305f11f2b4c4162b61332d15a27cb2de0dd26e33a8a1524b8ed7b
68,201,8,9,1.1,3c011a16063c284ef9261929f77c77a48e29dfb6c5fa11da038a63587b4a78ad
69,201,10,17,1.3,b5b44df8b10d3bd3636aa3ba7243b5535a85c8775ddd5cd1e0224baa568c010e
70,201,17,17,1.2,fc9611916fcfaf51af51ad2d6e5cf1a50abec8a81784b629a8337b24c0a06c00
71,201,18,23,1.3,b57db1d72ce5a39339e7896402ecfdf5e0e36170dc1fe6470e5af4154ac5bae1
72,202,0,10,1.2,2a1b273884de4d0b371929583cd4778196488f3594ccba7f5ab2aefa3ea09423
73,202,11,14,1.1,3fd089655577ef0f2c621f77261fbe0cb98d552cdc9d57734722b4eaf435711c
74,202,15,30,1.2,35be365165c3527ab8dfc178ce3741afd375255e5b8caa45aff53dbcf03dfac4
75,202,31,39,1.2,d930519d00f176ae353c4e046033145bb2bcc6ccb1cc0f839c6405d5c4d93ee2
76,202,40,43,1.1,9e5e7f255c0b20f1981a8412a4f5f35538094580d00ac5aaf21ac27ab493be55
77,207,0,10,1.3,b58acc4aa4514b01a6dbe01c62bd883c2eb737cfe5880d2574c3bbd6542aea14
78,207,11,14,1.3,d5bb45a34e000ff77297c4dff68fe3fe3ffd7fbb0542d470b62ad643818a812e
79,207,15,17,1.1,99ba10be00efa28a63e309c6397dd57b90b9f860d857ad05a7279400d67e38d3
80,207,18,22,1.3,5ab1990c45fd3f058209162f59b596517c79e5b3cc57ecfded0cd975479e8ce2
81,207,23,23,1.2,4a13983599ed71825e4b64bdf7c79b2ae69eb06ba86a48ea1b9954e29a44735c
82,207,24,28,1.2,d083fb2d6dd2d05d4570f37e93562290cde358e930ab627685592ec873e3dbd4
83,236,0,8,1.2,f807c3f916a319a4d80307793dad0fecbfdedb148d266d71d0188b4d2b6a7f0c
84,236,9,10,1.3,4db0e99e4022fcdfd1cf0be2aa1d1954882e01051e8f726a5731dd0a81229e25
85,236,11,11,1.2,a2dab5473c062aadca1d5c6a95aff212eaf71672ea97ec85e381d6c4880c3ae3
86,236,12,17,1.3,ee333bc40ea5d430d88b2122d9fa7da23b634128d3ba99e17f7612f269a8eef2
87,236,17,17,1.1,73bad3238523cbfce4a5a5832f7f65eb8980713d583f478b36471f55474881bc
88,252,0,21,1.1,ae1723ca8b39397dfa12beaabdc5068f539a81962671a8f7b36e87794bb297e4
89,252,22,30,1.3,3455ac9bb62e853ffb26546c68d9d492c13f2f2ecd9b93fff86fe6451666cad0
90,252,31,32,1.3,4c82da166e22a0a5daf2eafaf252b453921e185b349ccf132f5699b853c72aba
91,252,33,36,1.2,0ee11d389275f627a6eed24f4c2c1cca4a0054133c061d7f4e9492604ec98df6
92,252,37,42,1.2,3893170df2eadefb91476ed32a1cbc28ccbfce089c04b773d9714ac932e49dd5
93,252,43,46,1.2,81d74de9d007c92f3e79cb15d033d7fe2380576c56b2a9c97bea195e82b8caa5
94,252,47,54,1.1,01c14a3670713f53779a2ac1f164f72c403f9b43287869b41d5534cca0656a7a
95,252,55,68,1.1,3d5e39f72ba00d2fb523407345af0424328e318990c94ce0e468ee6e46bb7246
96,274,0,7,1.1,19ccce6a2a2af7fcb450db7b7d1d66f8d0b886091be5ee3876e7015a31a297cd
97,274,8,23,1.2,ba50d2ca401a14121b1e3afac6cb7a749fbca92b412a8b12c069ad8bf18570ad
98,274,24,26,1.1,7d2a621c09ac2770b4ea34e2e66f45ed757cc4c13519bcc43db3ef91eefa1f9e
99,274,27,34,1.3,8eaa2d75ac72c030e9140babe4dd0500cb33ead2c368d34c31891bbe2eba1735
100,274,35,36,1.3,9b09f8ab0706e138fc9d009af4a1f2a44c89039fbb0912f0350ccc7a9941dc69
101,274,36,36,1.2,3ed32cdc661a7d24be7dbbebbf69f9d97f038f607ecb2c3f48c4e595adf3abc1
102,274,37,38,1.3,0e844baeeb41459bdda4fff0997d160684e64c049d3f2e84cb3c77d68e72ca5e
103,274,39,44,1.3,f6dfabb4bd6643b65a6f626aa1f242b41163de1306f8b3e9f31b09ac71c24ebc
104,289,0,8,1.2,7bcb509477728ab8efafafed1d8c98585aa02f9f6185e8ffad51e73d5240156e
105,289,9,14,1.1,3856eca8acd1a06d41791620fc17f4f754df19b72495d6d5fc2d1dca7ba39101
106,289,15,19,1.2,3ef73d3f31ec1411e894c49aec86d51944bb208aa7d2147bf3b45282bfecc5c5
107,289,20,21,1.3,bbc49f320f0b6d7690691cf8aaf79326ea20f92e363ccbd93174056bbe7cd956
108,289,22,31,1.3,a790366417bc66024c0a894ed0e548b6188592c4b00021dbfe15e2768c1c4ebd
109,289,32,32,1.2,40c9c115508da0f8cc6b7df3d8ae17ba9daa3b0f413aa5864c276d20e286b668
110,289,33,43,1.3,df1a4ac155c8b8d783bfc770bb165d1b87e67bedc90cfaafbca16ffc52e1fb62
111,289,44,44,1.3,6418c614847563dc402b4e27f198b9db6e3739d8a3837efbe9731979248ddf44
112,289,45,46,1.3,aa650a22f52c8f5411ae41ce359eb95fc835a3bdbda858e28b548d5aae726c41
113,289,47,50,1.3,092b9012c79b04b56c3d8945fa4e8d4c3f24f4314aabd9b693c0662580dfa6ea
114,289,51,51,1.3,d794a025375ad49b4c9718288b11f17a8b56f204919f2f7d1acb9686488947e3
115,289,52,52,1.3,3df035bf9eaa3b541ff761b100200f91634f2f88c88f021e1efc80175d916684
116,289,53,68,1.1,21f186f7f7fe88fe807c7c465aab381e0fd9258b9a26c26d044a8facd198922f
117,291,0,1,1.3,37d30263279b5b68d472960f1e3321f77d118cd57d4c47aea3bf2a1b4037e10b
118,317,0,24,1.2,7273d692fb8e7ca984eec94bbae5ff5537b50a5551ec447978993c3d1ff3a9b7
119,317,25,36,1.2,ac847b25cd574ed2bed5e4d0bc4186d69cfd108b135ac926353e4eed8320e851
120,317,37,43,1.3,9dcd99b4be449c1d9894540f8bca423651a8083d2cb67a692b09c1b96f0a7909
121,317,44,47,1.1,85f9fde138a6a692c10f6403a310d21d1e5833d673b057c99967687901dcb189
122,334,0,4,1.1,9cb0f74d3cc2d82a01c403fbb27ac858558aba54ce614c3b1dfe9628d8bcc5fe
123,358,0,7,1.1,71a709e88b78198bdd4aea07cf80ca13b7efeb02d80c871485e85d551992ba51
124,358,8,17,1.1,5a54968e0627ba55e50638c56ebcaca4b1783cd7f4490d9242730b86df65d1a9
125,375,0,16,1.2,f5be2be9592210a497e253ac6f1bdc3768b253eb5fde6a3c68351368d2a9aef1
126,375,17,19,1.3,3200631fd9b91ee4da43ef84afa661ceff03d27ccb67e545f1d2622be8f40740
127,375,20,20,1.3,01dd4b1867e2a5d62cf5fc6f17f1af3cf417a5766876ace501ccdfa4f95daa4f
128,375,21,27,1.3,454cf9be9e9fa89521eeafb62033ca7e46fbc982869b4e5eff0ab9335fcefbcf
129,375,28,29,1.3,f3bbc2a3e834eb15e5f5cef62813eeb784fa86f0c5b90bc39667dac30c2997d3
130,375,30,30,1.2,aeded3ee5caee7e8269e38d9f08831971ef847e54593e90cadee77e9f2162fe7
131,375,31,36,1.1,a387a75947d44f3a233ccbf6b56880a39c83235ccab318b6311269278a8a9274
132,375,37,42,1.1,6113b8f3ea7d48b609d5e7ac42a3a9ea5f3f77d5f1996d7f4a0e210b0c9a48e9
133,402,0,12,1.3,7025ded4d3f2d17756ccff19bf4693083aa06aba27a4704fbb34d0a632123ebe
134,402,13,13,1.1,ae94d1d856c7b588ff8117af0365c0d8d92364a3a9d996d8447805ea39fed7b3
135,402,14,25,1.3,17dc3ff72892259368cce131ad99f251c74c3df8ad24d4b1c59b6e1617ae7b32
136,402,26,26,1.3,e91b719d4bfd5d0fc42b268e11fd3722f5ed1c581f1a835a503068dd2219ca1a
137,402,27,36,1.3,eba6486c5b00e93789542e895d7f4143a322191ac28072fcb2710a45b1fd3c9b
138,422,0,11,1.2,024f4a3c76dff5ff9051a5e27bacaac0aae65c587cdb7982c41afd093b40406f
139,422,12,14,1.3,90455383529778a08969a6f851a8e7efa15fabdeed05e42002a927f1d5841ba2
140,422,15,16,1.3,1c10b493f93479ba000789f2ceb9d814a12ef4c3baad89e4dc4bd2a434593aad
141,422,17,19,1.1,7f2cbd2447924f22413d34cb844387f137ec4355d2d912eefa6dfb5205d1b0ed
142,422,20,23,1.1,0e7cfa8a74e01aba9ea5e0fbf89c4596877b42ea39c0cac205b7951d97fc8209
143,422,24,30,1.3,132a54740861cb0643b93e61c84584f012b4ff826f202283219491fd62302955
144,422,31,34,1.3,1231e94b72244a895acdc851cfd1de14eca46c44b1242c23949a9e69497d7df7
145,441,0,23,1.2,97dd6fae02ce34d6af33ef3f3c334685049cca68c57c5430a6e98ee08c2c7180
146,441,24,27,1.2,ae56fea7b111bd83623cad82e6081016cfa2f9af065f4ba24eb3718935fb249e
147,441,28,44,1.3,635e69f6587fa717fce1ddb267c6a6400a3cd336b52823d7aa8f3f4335dcea24
148,441,45,48,1.1,74e091ffd55fed476717d989dc7d1849c1331c8dc608ecc8434274d2ab222545
149,445,0,2,1.1,b849622a195f8b50ef472083c1142c06ee23794fbc34779e38fea6f8fd06f782
150,445,3,7,1.2,508362e946751f3481b9352be554e4f1e43abae14fac673f616f39c38bf89383
151,445,8,18,1.1,050be36831fd080ba2493118e39adcd515f1b6817f47f9dbcebb0aa2cc846427
152,460,0,1,1.3,2af9f2961e4a31295919edaca5927ebfead9d13dc5b99871c3375587cb5ebe03
153,462,0,10,1.1,a80fb23bfc1f922753c4a5a8d188492291e42c91617ab93a555e3ae34c472a32
154,462,11,12,1.2,cb62df0567afab9d9714eb74d1bb1b3970e9c195d914ee0f7729635f7acec900
155,462,13,15,1.2,4ba981f3f125c55d484e87fe6c0276fe1cf321763050934405fe8156c10d706e
156,462,16,17,1.3,31446a43b78f351bc7ceb08f69c5e433283862b70438d2037aae89eac8542937
157,462,18,23,1.1,3551a35c2e73a35e24f34fa3725a59c47e9c58973b27b797c2871714d569496f
158,482,0,19,1.3,bf78c1220bcbac4df0e9199a9f7f87010ce0f51aef2f473defd2ec74962d3e60
159,482,20,21,1.1,ea2141cca2de4d8b3b7bb8bf15074bf317a082a81d345216ae01e489344803d1
160,482,22,29,1.3,4bb0d20b678ff1119bceb63cb6463f0f7aac5e10dc5c763479da8a13e181b27e
161,482,30,32,1.2,ff421f62eb662307fb343bb8a4ac08ede7b936aa5d5fc465b66b9f7f13a50911
162,482,33,37,1.2,6f28e57763c560612728b803df73a493bf934416d60cafec1cba6af14f0fd0b2
163,482,38,43,1.2,21a615563264d392712eb1dbab26835b3ff2bb791a8fcec2fb49c4d5412d1313
164,487,0,17,1.3,f91a129dacab295ed4e63cb2d088a601018a7b48637ad10c3af1903594665b2a
165,487,18,19,1.3,faf0752b981f1abc799b1f52dc66b57a530af8df2149b8c7fdd81db0d8f63b49
166,487,20,23,1.3,cf4cfa98bedab5fad846ffad1455878aefd33364e1a55e17a6bff9408bbb372d
167,487,24,39,1.3,194b13a866bcff0ce5dfbcf24f0c2f7cc1efcd9c1ab0519f2bd5171f33a67107
168,487,40,51,1.1,a09a167080fae470bd10fee57e783dc2298fbee04c75cac3b29fb1132a33f48f
169,492,0,17,1.1,124f6dfc1eb0337d582105372d93f2021c61be1cd74206ec964211f6e5c53070
170,509,0,4,1.1,caab95950c72d9f5b2e524b41321b13db95d498c119c426e6e79f6148d4bb765
171,521,0,23,1.1,43233016ee6332e55fb775999d05af3c1633d1f3cae18341830760850d9689de
172,521,24,30,1.3,4bbeccef6a5e7482074a50f6c7c795bc89ba1b48e39e1741c2ca102c20f0316e
173,521,31,37,1.3,8efb5a55179439ba676efdb3ba430ac40af8028eaef230102e9a5a4c57a99d61
174,525,0,6,1.2,4f6850bd1573fd2b73ffbd1ae4b165679a33dafaafb988131e69876535c480f7
175,525,7,11,1.3,b64a4a6ac530a3ce0287eea82afe4241d5c37f84175b4e5083ce6fcda49d60f1
176,525,12,12,1.2,4bc112304e8954dae8c13808e84c4a2ab8161072c3c492765527fc25de9044e0
177,525,13,18,1.3,9128091415583471b15b56bd64654537fb435b35d88f0d095fa3dcb2ee36a324
178,525,19,25,1.3,13c4e58f11b8cd49dc7accab135ebc4ebba2320c2dd9b7b831972e1aa03597e6
179,525,26,27,1.3,72bee3a102a00435303cb048785cc80a57d6a70c9e2e74c14d9d6832f7bfd713
180,525,28,29,1.3,4c5206b563661ceabe1237e4168e708b76be0c4bb82f1f0a7931ccd2aec78f96
181,525,30,30,1.1,83329919c75d3318214e114fdc7999acb5524a3dc6ad5d41a539b48cd1c75c0f
182,527,0,18,1.2,e8f0a6bb831d647184a5671928bf68e02854c09a1b68a74d14feb594bea59440
183,527,19,41,1.2,8175da5ce057cf36a9257a76d232fd3e8deaee838c4bba9c407bb56074d15acd
184,527,42,43,1.3,a820715aa5a2f2256a8192f73d98c8e54c32f51d84bef384cc9ddc0241f2b975
185,527,44,59,1.2,1254979026c23514cf631c8c16912b7e97558eec135221638c6a5ba322089299
186,527,60,61,1.3,ca0f2a0a373119313c8903b92a8bff3b0298a75dd1f29b4c2c172ff7dcdcdbe5
187,527,62,66,1.1,147b883d38f65e335f396f39de8c019d2732a8a2d342ac60f14e8f1e21631636
188,527,67,68,1.3,b81bcfe839d5c9e7915df6b2babb7a8b9d3636447da2b94d885003ee65ac3f37
189,527,69,79,1.1,359ab5a67c9b6340147691a7afc57951ff909316615d9778f8c3beae149fdca5
190,630,0,13,1.2,c39b8f2208209a068122fd634e45e3939bd0ddcccc29809218d1a881f03797b5
191,630,14,21,1.3,1ead70402cb94bab6de54d7289e77cba178c1218d070e2c3eba96ae3d00d6b66
192,630,22,32,1.3,10fc68f09324dd7bf8302c0c0a89474d771a5d45409dff0a7a9cac4a4cb572c8
193,630,33,37,1.3,8ab12759534a8dcf41fdfafd658989361138374fffdedccc9a8a5a3ef53b8f31
194,657,0,21,1.2,086091b39b008188ec4dd58fdf93ab952469223b8257e780e8be018b335e27b3
195,657,22,25,1.3,8472fd1dbb4621e25b6cca04d8007c7395dfd8024524a3c0b9f4117a6b3b0e0c
196,657,26,28,1.3,060c828b464ed4e2c1ffafead123e3d32d48d88f50612f068c3c3d203fc937d1
197,657,29,32,1.1,20d670f419f03a1f63d3b5f6b62b1e56514c410830ba8431b404dd75b96f8f93
198,657,33,35,1.3,7fca6916b26865fb5bb1c3a24b5dc4269ca553a24c801bbfa59b80a9cb7d08a0
199,657,36,38,1.3,20e3c5edf67c4cb9d2e3afb7faab652ab26a6556d84662f3df48cc7f78d695cb
200,657,39,39,1.3,50e3f0f155378cb84f253a4d6a006d5158224694426fa4b3854293b3486a3f85
201,657,40,40,1.1,236db4479bf688731df5ffa30cd7610ef7bc0a1fd781641323b7b3766085f9bc
202,657,41,42,1.3,f1f7c45b774a059fa94e9b09ee61dacaeb854a9242de01346e2cf59a1e0336bf
203,657,43,48,1.3,f04551411ac69c4ca220baeab5d385cfea07bef7cc159286a8ff791a65943ea1
204,657,48,48,1.1,9cf5f3878bbf575d473fad572b8f2b30320a548b936bd964bcc1922116cd4e5c
205,663,0,12,1.3,98a2d2cf0326f161237d412cf14f09ed5df7d6b9edfa7798b6cfecb50ab53373
206,663,13,14,1.1,527ea4cf531fd3e8a1d8b4f4d82d0cb6d3c5b7f2624d70ba6464e761211e96ab
207,663,15,18,1.2,93e0fbef5d4104c8f8da592a85441b93a869df2a60b908b1690e0a012cd61818
208,663,19,20,1.3,d9c4a32e22c8ecb9aab8eab417b6b81bf5d42117492b36067c9db9ceed9e15f5
209,663,21,24,1.2,5e103bdb60293fc0700533cb7608e9bf631e78d3de74c720fd7c2da210a21b4d
210,663,25,26,1.3,997227af8d50fd055b06e12dbf36268a544330b04d0b08be44666c815d56c8c0
211,663,27,45,1.3,0c93b84b37c1115ded40ac9b8e17976c37da31613ba9aa9fe39df68c92baf419
212,663,46,46,1.2,bc7d6868c87ab9936d57398ee83ad467b51446370ae3ef007e7582b5dc7dac29
213,663,47,68,1.2,0e6cd9d994fab5aef90b3eb6dd6cf0deda005c4a38917444ea60778abd1085f4
214,663,69,71,1.2,a94eb0927c7423add7c21e1536b235ea8839453d6b52b732cb15c17f14ad3179
215,663,72,87,1.1,2aa63c16db2739cf7346c37cdaaa2dd8fb57f79e3375edb40c724f269d2cdf05
216,682,0,4,1.1,077b7aecbc4022a1028040bb918209487284897637d9b33bd2c5d50778182f8d
217,682,5,22,1.1,83883b3490abfda4d6d48353ba7675d5bd84ec12f119b13c72ad8ce499b2391b
218,745,0,16,1.1,5d39439e8526cb070381dcc50dcdcdd9fe119d0ce0ce0ec43eaf37cf245ff530
219,761,0,6,1.1,9b0d68970a79e856a39bdbc36964910585d5fe9bc3505b3f48ceebe1f7fdb825
220,764,0,9,1.2,ef289c4a0fc7612ccebeb4a020a6d7aba0dddb02402dac553590273752f63493
221,764,10,11,1.2,7c0c49ef03d15ddee5060245c09269b010e37b1573170c5e08da96d5a25471c6
222,764,12,15,1.1,e4eaf13ea9f62ffeefc90e444f31f74cd0106b88986552a6cc9e54f9c3dbf0d4
223,798,0,5,1.2,46020bc5714f932bff70344fb0197a64a18f048df5ae7f2bb5a7234782c04f48
224,798,6,16,1.1,6d9569c5b1130e8a9a23d055c902731f570de111b1d86eb487440c0d8eaf73ba
225,798,17,45,1.2,f553fb745966c6a9b993c09c392390a8a5f0a795da2188f58f9ea45d9af33157
226,800,0,7,1.3,09c8dd26959f6c5b44fd569f0916127e8ef9475d8b070be90b4251b6af27f454
227,800,8,8,1.3,c279e6a130a09bae0304886d500bf320abf8826ba2880dce5f7a040a786c4724
228,800,9,9,1.3,50af81d1f6c7c778dbdca0c9f04681365a46b3bd00d4d29998b2d369eb0d871b
229,800,10,11,1.1,2ec94c2683ddcc2fdf9da1fdab5505bfa6263b4804462a65a275542f07976362
230,800,12,14,1.3,b58b7e8e51c8599d693ceb1874fbb02f66353e07a6f54ffbee22aee1843f48c5
231,811,0,27,1.3,8ff99a3e8a3dd33d30217b2f4461143f3d42ab9b512669285b5c8ce990bb3dff
232,811,28,29,1.2,5a22af1e06ff9d66a21f7fb53a92d1afae266f58a2c6d6744453a815ab72d223
233,811,30,35,1.3,b11dabe34693b61b09ab57beab9f9da9535cdeef497e3d577b7b54091a331da7
234,811,35,35,1.1,61f66f476a820a1c8dc2aced61361d0bf412e62528e052f1de6010fb62b355fc
235,811,36,43,1.2,6f40a00c2e1ceeea2a53b64cdeb8726f5fe63adaade0742e586749a6d6b0bef0
236,811,44,56,1.1,5f75097f029f7235bd739dc8cd7f0dc50dc7f8644d8504894048683a565e0099
237,811,57,69,1.2,cc4504f665e33dba958c3f38e4d3570b54035afbcd72bc5c34de408c19c9d0e5
238,811,70,75,1.1,09fc21f5d579ad07a32913b14366a5fd2b7afb5f7f3cf06a3aa5acd6e89be59d
239,865,0,5,1.1,d03f57c19a2fb9c378268b75a07ce374e9252e54a8cc0dc2d7c3b310014bc224
240,890,0,4,1.2,416443ab45c7065440998056754317e3bae3a6700e8ac9ce6e30db91aae55098
241,890,5,11,1.3,35852207085d48dcf54151bb388dfc32c710b6ed2c8bc51716866d17880572ec
242,890,12,13,1.3,8d805f19213b268dd8f52b852bb40ed213d7d5dec5e53f2025bfbcec63ebec3d
243,890,14,16,1.3,530ddab74ac3f944d7acbce847a29353595e1a77ca9447608ce526ae043716f0
244,890,17,19,1.1,b2a6e04bfa9f308efcb36eb84a24211c69379da4cc206ebf3e8eb13132437698
245,890,20,21,1.3,eb0b862c8e63856591eec169e89ab2f7bd862f28c0ca1266c0d8f99ceafd481a
246,890,22,22,1.2,f85ccf5925e0689aa87ddbf6370cbaccc729ea75381079684a9310ff137574ad
247,891,0,13,1.2,b4a828e2d7a63090be74c2c72b617a8c782e693dfb22e79f5e92305980863558
248,891,14,17,1.3,a79fd71aa2a2e8384d02eab88c83dc7c1a3226bbd25c56a33c94f08774927de9
249,891,18,20,1.1,2d02789f452108f7f1386bc6ee2a46255fcd9db1e5b97e621d84ac947e9606cc
250,891,21,22,1.2,a70dcb17688429b16de927184c2fe1314d9408306e738d6ac8ecb88ba156abd6
251,891,23,26,1.3,1851b29f55fa4294d1786d5262c8e531df30bdfbe5281e7d646f44aea00db1b6
252,891,27,30,1.1,25d640e6bf0d6d006dacb928903d888ebe6411f070b04d449128082addafa514
